"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"PFDN5"	4.38573201590949e-69	0.413289954644914	0.804	0.992	1.07446048657767e-64
"RPL4"	5.13443743303333e-21	0.413241234106904	0.698	0.953	1.25788582671884e-16
"RPL23A"	7.50698790878672e-156	0.410907563117514	0.978	0.998	1.83913696777366e-151
"ATPIF1"	8.50578894636237e-26	0.408795123403316	0.371	0.792	2.08383323396932e-21
"COX17"	0.879016020076242	0.40790065288633	0.541	0.941	1
"NPM1"	8.04767661601538e-93	0.407399363777597	0.965	0.994	1.97160029415761e-88
"TOMM7"	2.07813197829745e-52	0.402709217891422	0.821	0.989	5.09121553363092e-48
"NSA2"	3.00668034299562e-05	0.399273053642264	0.599	0.95	0.736606617230496
"ALDOA"	1.38417719746236e-48	0.394015082890202	0.858	0.957	3.39109571606303e-44
"EIF3H"	0.000480299320268748	0.390976530907852	0.575	0.921	1
"ATP5L"	5.44067422170652e-45	0.390818633929459	0.737	0.985	1.33291077757588e-40
"FCER1G"	0.00012329505889553	0.387349143632734	0.083	0.129	1
"RPL30"	2.95610479542808e-150	0.387087079254833	0.998	1	7.24216113831926e-146
"ATHL1"	5.14420934547935e-42	0.386842560555721	0.105	0.312	1.26027984754899e-37
"RPL8"	1.50480291184295e-119	0.385248179457784	0.996	0.998	3.68661665372405e-115
"RPS4X"	5.67917679446641e-143	0.381987091980569	0.995	0.998	1.39134152287633e-138
"C1QC"	0.00483119132816541	0.38170661286697	0.078	0.112	1
"EEF1A2"	6.29685881693603e-10	0.380429415195518	0.315	0.562	1.54266744156116e-05
"HLA-C"	3.75490769345776e-07	0.378549265032496	0.653	0.909	0.00919914835820217
"NACA"	1.80259047258507e-102	0.375666156508755	0.975	0.997	4.41616639878615e-98
"TKT"	1.06364891025785e-20	0.372784576901441	0.732	0.93	2.60583346524071e-16
"RPS28"	2.2004761524467e-106	0.366536807967832	0.953	0.999	5.39094652587917e-102
"ATP5H"	0.0460391924160401	0.3652899702033	0.508	0.892	1
"GNB2L1"	6.82397449259047e-101	0.362429372523663	0.985	0.997	1.67180551093974e-96
"NBEAL1"	0.000494952757413302	0.361433963840676	0.467	0.839	1
"MYL6"	1.22533927915072e-64	0.359967227076362	0.908	0.995	3.00195869999135e-60
"SNRPD2"	1.74594500859073e-34	0.359802594978547	0.359	0.818	4.27739067654643e-30
"HMGN2"	0.012473232336169	0.356869513977309	0.592	0.888	1
"EIF4A2"	1.26902715291263e-59	0.356429474510525	0.326	0.843	3.10898962192065e-55
"RPL11"	4.69504049183288e-131	0.353482362042419	0.992	0.999	1.15023797009414e-126
"SFTA2"	3.48800866191396e-22	0.353457007203363	0.74	0.943	8.54527242082301e-18
"POLR2L"	0.928312615901106	0.353383155089424	0.549	0.919	1
"RPL13"	7.73334144175825e-136	0.352593930762026	0.992	1	1.89459131981635e-131
"C7orf50"	2.50843873275332e-08	0.35243674913815	0.409	0.751	0.000614542405137236
