"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"SERF2"	0.165347439745561	0.170767920772968	0.696	0.996	1
"PSMB6"	1.17119209249104e-108	0.17071401341548	0.241	0.762	2.86930350739381e-104
"GNL3"	2.10151530397776e-143	0.170594015815092	0.194	0.731	5.14850234321513e-139
"PSPH"	6.51062608299673e-99	0.170518032124263	0.081	0.401	1.59503828407337e-94
"ADSL"	2.46347732413059e-129	0.170409095732679	0.109	0.523	6.03527309638752e-125
"TXNDC17"	1.81955272686625e-06	0.170266875710215	0.571	0.971	0.0445772222554963
"RPL36A"	7.40283516130755e-37	0.170133829542113	0.421	0.965	1.81362058616874e-32
"IRAK1"	8.00995036751587e-142	0.170110592256599	0.142	0.618	1.96235774053771e-137
"SHFM1"	0.302380698069433	0.17009613765993	0.594	0.982	1
"CD99"	1.8829051188541e-97	0.170041320573903	0.292	0.848	4.61292925068065e-93
"MRPS18C"	4.81899224309569e-175	0.169816523054152	0.179	0.763	1.18060490963601e-170
"CCT5"	4.15581894572435e-86	0.169708025451723	0.325	0.889	1.01813408351301e-81
"VBP1"	2.90741723016974e-133	0.169688540700624	0.206	0.744	7.12288147219284e-129
"GPC1"	4.96186813458286e-120	0.169615573866412	0.09	0.465	1.21560807429146e-115
"COMT"	1.83195250650462e-110	0.169514086010671	0.236	0.753	4.48810044568568e-106
"PNPLA4"	2.32984519354484e-129	0.169454693582563	0.129	0.565	5.7078877396655e-125
"C12orf73"	3.55587886106489e-116	0.169389101166405	0.087	0.448	8.71154762172288e-112
"OGFRL1"	2.9734368303435e-109	0.169148550124359	0.079	0.417	7.28462289065854e-105
"GADD45GIP1"	2.02914887896326e-109	0.168905973543742	0.263	0.816	4.97121183857209e-105
"TRAPPC4"	1.14816449230706e-149	0.16827182286358	0.143	0.633	2.81288818970308e-145
"APEH"	1.11236602857219e-128	0.167879887203838	0.101	0.504	2.725185533399e-124
"MRFAP1"	2.06724487366551e-135	0.167752230931825	0.264	0.879	5.06454321599314e-131
"TPM2"	3.57656092459726e-44	0.167663234026429	0.044	0.198	8.76221660917083e-40
"GSTP1"	4.29905459813308e-05	0.167629158486027	0.863	0.993	1
"PAICS"	2.31701614253064e-108	0.167495489927915	0.187	0.64	5.67645784758581e-104
"COX16"	3.59603484809755e-189	0.167288982818138	0.189	0.807	8.80992577435419e-185
"EBNA1BP2"	5.98248198785278e-77	0.166752899391172	0.263	0.721	1.46564826220405e-72
"AIP"	7.86122431348827e-121	0.166532551902743	0.1	0.487	1.92592134456149e-116
"KIAA0101"	3.01629457848045e-59	0.166171138339273	0.151	0.441	7.38962008781924e-55
"C19orf60"	2.5170408146638e-140	0.166061508817014	0.194	0.727	6.16649829184483e-136
"PMVK"	1.40137899301322e-122	0.165879092572937	0.104	0.498	3.4332383949831e-118
"LAGE3"	8.98438145761491e-115	0.165801991820979	0.236	0.768	2.20108361330108e-110
"NDUFV2"	4.46214256998736e-55	0.165604720408904	0.38	0.908	1.0931803082212e-50
"CUTA"	1.84716151058402e-146	0.165569543537967	0.202	0.762	4.52536098477979e-142
"SEC11A"	1.07696776930507e-80	0.165565759496149	0.312	0.844	2.63846333802049e-76
"NCBP2"	6.2681849693299e-168	0.165502432397741	0.156	0.695	1.53564263563613e-163
"LCMT1"	9.92601411585226e-158	0.165448911862494	0.12	0.6	2.43177419824264e-153
"BAX"	1.06554031017013e-151	0.1654089923456	0.167	0.687	2.6104672058858e-147
"GTF2H2"	2.67907477916892e-131	0.165238002934096	0.107	0.521	6.56346530148594e-127
"CDC37"	3.81079867655188e-124	0.165030373440639	0.164	0.627	9.33607567768444e-120
"WDR46"	4.95624036006826e-134	0.165025774571244	0.107	0.526	1.21422932581312e-129
"ANXA5"	2.56493927482066e-110	0.164894273719979	0.3	0.899	6.28384472938313e-106
"MRPL1"	5.17143261843862e-168	0.163995246376637	0.157	0.697	1.26694927719128e-163
"LSMD1"	3.00523658292938e-149	0.163901887712983	0.244	0.86	7.36252910451869e-145
"SEPT9"	3.21792084318837e-154	0.163369080588438	0.229	0.834	7.88358427372719e-150
"RAB4A"	9.04828445737602e-138	0.163239126109926	0.118	0.559	2.21673920921255e-133
"MZT2A"	2.87082412888637e-90	0.162762605211567	0.299	0.857	7.03323203335872e-86
"IRF7"	1.73788082023576e-129	0.162701402086165	0.099	0.502	4.25763422149558e-125
"TP53I3"	5.41199067849196e-94	0.162513049494324	0.183	0.597	1.32588359632374e-89
"TM7SF2"	4.22479023699188e-142	0.162490811529955	0.147	0.631	1.03503136016064e-137
"ATP5J"	1.44148156302413e-40	0.162141784010214	0.424	0.952	3.53148568125282e-36
"ZMIZ2"	1.58450232906287e-123	0.161947482484446	0.091	0.472	3.88187225597113e-119
"HMGN1"	0.0183193369365976	0.161811409315075	0.579	0.981	1
"SLC40A1"	3.433638614907e-133	0.161554501858899	0.188	0.7	8.41207124266067e-129
"AIMP1"	4.57706253726028e-140	0.16136522245249	0.22	0.784	1.1213345510034e-135
"HSPB11"	8.16502341345009e-114	0.161081305990997	0.255	0.8	2.00034908606114e-109
"WIPI2"	1.0416418854654e-104	0.161048853347073	0.257	0.788	2.55191845520167e-100
"NME1-NME2"	2.40300608939457e-110	0.161031851677846	0.094	0.449	5.88712461840776e-106
"CCNB1"	1.60944845357553e-47	0.161014165301171	0.172	0.442	3.94298776641468e-43
"FABP5"	7.08974424196414e-98	0.161004186294469	0.152	0.54	1.7369164418388e-93
"KIAA0020"	2.37295118034284e-139	0.160957602526427	0.116	0.557	5.81349309672193e-135
"SNX8"	2.16657758418428e-115	0.160755073372428	0.086	0.445	5.30789842349307e-111
"KPNA2"	2.94013307079796e-114	0.160415504374251	0.158	0.593	7.20303201014793e-110
"NIFK"	4.81176060455918e-159	0.16019955887916	0.147	0.66	1.17883323051095e-154
"OLA1"	1.38426189142955e-118	0.160125825724249	0.218	0.739	3.39130320781324e-114
"MRPS21"	6.80039366249216e-117	0.1600208521577	0.29	0.9	1.66602844337395e-112
"SNF8"	1.5512682423944e-89	0.159928710330754	0.279	0.792	3.80045206704203e-85
"FLII"	8.2951633100853e-145	0.159745316278493	0.12	0.574	2.0322320593378e-140
"TCEA3"	9.12880528244596e-111	0.159718449580376	0.197	0.666	2.23646600614644e-106
"FLNC"	2.07748687059299e-43	0.159473399018936	0.052	0.211	5.08963508426576e-39
"PYGL"	3.43588708574878e-94	0.159199558892563	0.073	0.373	8.41757977137594e-90
"NDUFB1"	1.40464236561444e-133	0.158954890368338	0.278	0.9	3.44123333151882e-129
"PSMA1"	2.21742804473767e-83	0.158838943884396	0.329	0.908	5.43247696680281e-79
"DCTN2"	3.72899772046931e-142	0.158706847763527	0.168	0.676	9.13567151537776e-138
"MRPS7"	7.44823404736276e-133	0.158576362782978	0.192	0.705	1.8247428592634e-128
"RARS"	2.82519630225728e-154	0.158389997342503	0.181	0.728	6.9214484209001e-150
"ACAT1"	9.18207552587565e-164	0.158332309800448	0.116	0.604	2.24951668308428e-159
"TMEM141"	7.8440115284346e-129	0.157564240646876	0.2	0.717	1.92170438435119e-124
"ABHD12"	5.04780569102812e-174	0.157493970826867	0.136	0.661	1.23666191624498e-169
"CEBPZ-AS1"	1.044234833873e-166	0.15743410607427	0.141	0.661	2.55827091950546e-162
"TMEM54"	5.23032595257676e-127	0.157397900478315	0.197	0.704	1.28137755512178e-122
"CCM2"	9.19121090317791e-112	0.157347161204043	0.192	0.66	2.25175475916956e-107
"BASP1"	2.22225454409299e-88	0.157140572256499	0.094	0.402	5.44430140757342e-84
"TAF9"	2.44072988354446e-75	0.15686775055271	0.34	0.902	5.97954414169557e-71
"CAPNS1"	1.50551567023133e-129	0.156840773868052	0.238	0.799	3.68836284049973e-125
"EIF1AX"	1.20280264096842e-28	0.155962742694978	0.46	0.953	2.94674619010853e-24
"RNH1"	2.76776376803091e-127	0.155918027143362	0.209	0.733	6.78074445529892e-123
"SUB1"	1.87874399460798e-06	0.155786866537831	0.556	0.982	0.046027349123901
"EIF4A3"	3.59914835569152e-128	0.155732293254606	0.185	0.681	8.81755355660865e-124
"PPA2"	1.63775211356774e-171	0.155593814768649	0.134	0.658	4.0123289030296e-167
"BOD1"	4.44936220032588e-170	0.155477135766232	0.143	0.672	1.09004924545784e-165
"METTL23"	5.58665198054584e-142	0.155424127355922	0.149	0.631	1.36867386871392e-137
"C11orf48"	3.3826037886833e-147	0.155372611178172	0.18	0.71	8.28704102189523e-143
"FUNDC1"	2.1666866349396e-172	0.155317027496938	0.145	0.681	5.30816558693853e-168
"MTIF3"	6.74556871423987e-188	0.155313620376755	0.128	0.668	1.65259687930163e-183
"MRPL15"	2.643086559893e-115	0.155224890368856	0.195	0.675	6.47529776308187e-111
"TUBA1C"	2.56639053894621e-39	0.1549187891556	0.426	0.921	6.28740018136432e-35
"UROD"	9.20068235015048e-139	0.154877527596595	0.105	0.533	2.25407516896337e-134
"C21orf33"	3.28823528405522e-106	0.154474845044742	0.079	0.413	8.05584762240688e-102
"SYTL1"	8.54400169873076e-115	0.154171140604723	0.093	0.458	2.09319497617205e-110
"METRN"	1.28799712292059e-131	0.154060609588965	0.114	0.538	3.15546415144316e-127
"MPC2"	7.71827382426213e-151	0.154044795720923	0.235	0.843	1.89089990420598e-146
"CREB3"	1.43103693803853e-129	0.153897132870477	0.095	0.493	3.50589739450059e-125
"STK16"	4.00025986365109e-124	0.153582057701761	0.091	0.471	9.80023663995879e-120
"NDRG1"	1.28438887446763e-82	0.153169879552315	0.228	0.664	3.14662430355824e-78
"PARL"	1.49657402354856e-156	0.153169230495809	0.111	0.578	3.66645670029162e-152
"SCP2"	5.6901601926738e-96	0.152893502953247	0.337	0.95	1.39403234560315e-91
"E2F4"	5.88047432435862e-156	0.152821996991118	0.098	0.548	1.44065740472462e-151
"P2RX4"	6.60740037444852e-88	0.152683208404741	0.071	0.356	1.61874701773614e-83
"NDUFB6"	3.91045666915554e-180	0.152635971790212	0.172	0.753	9.58022779376415e-176
"UXT"	5.57779495554021e-138	0.152483695448533	0.249	0.855	1.3665039861578e-133
"DDT"	4.26296243237627e-163	0.152354817463664	0.176	0.733	1.04438316630786e-158
"TMEM208"	4.09664809842012e-153	0.152021644758006	0.189	0.74	1.00363781763195e-148
"NUDT1"	3.47184464929108e-103	0.152007996480615	0.168	0.587	8.50567220629822e-99
"FAM204A"	1.02127940534263e-185	0.15199924689864	0.125	0.661	2.50203241514891e-181
"CISD1"	2.07020280567805e-152	0.151906282695367	0.132	0.616	5.07178985363065e-148
"HPCAL1"	3.26066660581702e-137	0.151756231154356	0.181	0.692	7.98830711759112e-133
"BAD"	3.78295321804589e-136	0.151619503046222	0.113	0.544	9.26785708889062e-132
"EIF3K"	1.93664747309125e-33	0.151541973082823	0.445	0.967	4.74459264432625e-29
"TIMM8B"	2.2893572319913e-147	0.151437125600084	0.24	0.857	5.60869628265548e-143
"IFI35"	2.60469562898238e-119	0.151430185363576	0.155	0.595	6.38124382144394e-115
"HMGB1"	2.36496628555274e-07	0.151409013584116	0.592	0.975	0.00579393090297566
"PRKRIP1"	4.52346228852215e-127	0.151307789978291	0.086	0.469	1.10820302606504e-122
"PSAT1"	1.43018019148504e-96	0.150988347061536	0.105	0.446	3.50379845111919e-92
"CPNE3"	9.81125363974657e-172	0.150966023122552	0.194	0.788	2.40365902920151e-167
"TBRG4"	1.29379114661606e-131	0.150573221937051	0.087	0.479	3.1696589300947e-127
"EIF3F"	8.38825387127142e-73	0.150469129235145	0.343	0.91	2.05503831592278e-68
"CNBP"	1.31219080436942e-67	0.150281808267179	0.366	0.935	3.21473625162463e-63
"TXNRD1"	1.01485701344343e-05	0.150046059655347	0.565	0.922	0.248629819723505
"TOM1L1"	3.20668510765162e-177	0.150036033398405	0.124	0.641	7.8560578452357e-173
"U2AF1"	2.38540601878588e-115	0.149977646193256	0.259	0.809	5.84400620542353e-111
"SYT1"	7.70101710713495e-122	0.149816891977535	0.106	0.501	1.88667218107699e-117
"MRPS23"	8.09272207111245e-127	0.149762057473043	0.207	0.729	1.98263598020184e-122
"CRIP1"	1.00298945159694e-69	0.149707517141783	0.065	0.303	2.45722385746733e-65
"ST6GALNAC2"	8.54905662857772e-84	0.149473026859152	0.057	0.318	2.09443338343526e-79
"NOP10"	7.37459793354973e-150	0.149442658566574	0.234	0.835	1.80670274774035e-145
"CYB5R3"	4.15704663299006e-166	0.149295117064292	0.124	0.623	1.01843485461623e-161
"INTS1"	1.49825794156461e-134	0.149248897285031	0.086	0.482	3.67058213103913e-130
"RTCB"	4.5955822920394e-154	0.149211373050115	0.101	0.554	1.12587170572673e-149
"TMUB1"	3.14640567470354e-138	0.149106938605063	0.113	0.549	7.7083792624562e-134
"TAX1BP1"	4.60191125835279e-35	0.14904835974625	0.427	0.936	1.12742223918385e-30
"ATP5F1"	4.24670855041353e-177	0.148957900840777	0.188	0.786	1.04040112776581e-172
"TMEM59"	3.89902277887911e-45	0.148825287583871	0.418	0.967	9.55221590597593e-41
"RAP1B"	6.9170065914346e-111	0.148046991820637	0.295	0.891	1.69459744483556e-106
"COMMD9"	2.72738204044537e-106	0.147862173751812	0.077	0.407	6.6818132608871e-102
"RPS6KB2"	2.88501199189029e-136	0.147805547712936	0.098	0.514	7.06799087893203e-132
"FKBP11"	9.48319963828909e-125	0.147587373032887	0.084	0.457	2.32328907938444e-120
"MRPL34"	1.39755921324321e-159	0.147499963108135	0.133	0.629	3.42388031652454e-155
"RPL26L1"	5.29549569594309e-105	0.147407008821353	0.292	0.87	1.2973434905491e-100
"RAD51C"	1.67336719339593e-136	0.147337900968809	0.095	0.505	4.09958228710069e-132
"HMGCL"	2.97077197539863e-75	0.147063746024503	0.066	0.317	7.27809426252909e-71
"LSM10"	4.10936596858104e-162	0.146892724409866	0.113	0.595	1.00675356864267e-157
"MED8"	1.19828793769563e-157	0.146789930054296	0.146	0.656	2.93568561856051e-153
"RGS14"	2.70516692800548e-85	0.146583031930797	0.069	0.345	6.62738845692064e-81
"TYMP"	4.07113698344166e-161	0.146074435227039	0.142	0.652	9.97387849573372e-157
"IFI27"	4.9551039421805e-07	0.145936981297918	0.827	0.983	0.012139509147948
"LINC00152"	2.32020940682188e-141	0.145905972198786	0.116	0.558	5.68428102577293e-137
"MRPL21"	4.07485410781267e-164	0.145732090645293	0.186	0.759	9.98298507873026e-160
"CETN2"	1.1264680131621e-166	0.14558835422216	0.189	0.766	2.75973398544583e-162
"CLDN7"	3.95042178027847e-51	0.145462240478955	0.358	0.826	9.67813831950422e-47
"SUMO2"	0.0925952198395694	0.145301092290785	0.717	0.988	1
"STK40"	1.19369035389987e-130	0.145278591014247	0.08	0.463	2.9244219980193e-126
"NDUFS3"	8.35037299567231e-146	0.1451844533781	0.18	0.708	2.04575788020976e-141
"AARS"	2.56671086907707e-142	0.14480687696553	0.113	0.556	6.28818495815191e-138
"C19orf70"	8.65686566288578e-158	0.144742610317854	0.228	0.842	2.12084551875039e-153
"TRAPPC6A"	7.55963296369494e-114	0.144682948241456	0.077	0.423	1.85203447977562e-109
"ZBTB8OS"	2.99302271313294e-152	0.144642006386116	0.133	0.617	7.33260634490439e-148
"PFDN2"	2.13180519626065e-88	0.144211645989043	0.318	0.883	5.22270955031897e-84
"IL18"	6.41645870540763e-139	0.144143079148381	0.157	0.642	1.57196821823781e-134
"TRAP1"	5.78418087476493e-144	0.143997946489234	0.113	0.559	1.41706647250866e-139
"UFC1"	2.28129507990236e-144	0.143977184057188	0.244	0.853	5.5889448162528e-140
"CHMP4A"	6.23343566203813e-150	0.143847667073001	0.164	0.677	1.52712940284272e-145
"LGALS3BP"	3.48979209762554e-41	0.143712102344254	0.406	0.881	8.54964165997282e-37
"NIT2"	5.39332536792993e-156	0.143471373784809	0.121	0.597	1.32131078188915e-151
"SNRPG"	5.13077656985166e-15	0.143419253158322	0.493	0.95	1.25698895184796e-10
"HCFC1R1"	7.38876872925923e-139	0.143305688284868	0.124	0.571	1.81017445098122e-134
"RNASET2"	2.0492802006351e-143	0.143305533171701	0.091	0.51	5.02053156353593e-139
"CD44"	1.54634648583642e-100	0.142830624367307	0.311	0.891	3.78839425565065e-96
"GSDMD"	2.44727563819338e-152	0.14278980771433	0.146	0.644	5.99558058600995e-148
"MCAM"	7.92375457964118e-117	0.142774045745738	0.102	0.482	1.94124063446629e-112
"CACYBP"	4.07081202971859e-104	0.142685582814705	0.264	0.79	9.97308239160757e-100
"TAF12"	1.90988433889456e-143	0.142661803097571	0.102	0.535	4.67902564185778e-139
"CISD3"	1.05307997956611e-135	0.142646514019051	0.194	0.717	2.57994064193902e-131
"KCNMB4"	3.44131041933198e-97	0.142646332253519	0.078	0.39	8.43086639632143e-93
"NDUFV1"	1.87406178057546e-145	0.142645450410378	0.175	0.696	4.59126395623183e-141
"COX20"	1.97785726999638e-126	0.142530413455465	0.281	0.889	4.84555252576414e-122
"AP2M1"	6.97745066667782e-66	0.142493946320832	0.294	0.749	1.7094056388294e-61
"NUDT22"	5.09251411760037e-161	0.142446666294847	0.117	0.601	1.24761503367091e-156
"HDLBP"	2.72393138946093e-128	0.142416370247253	0.27	0.87	6.67335951104033e-124
"YWHAH"	7.6291387754949e-108	0.14241166724181	0.24	0.748	1.86906270860849e-103
"ITGB1BP1"	3.06884367224018e-138	0.142333280725906	0.123	0.569	7.51836011262121e-134
"IFI27L2"	5.74042574126e-55	0.142287326715424	0.057	0.25	1.40634690235129e-50
"MRPL19"	6.53545530924094e-172	0.14221765711137	0.162	0.715	1.60112119621094e-167
"RNASEH2C"	5.5234120755112e-149	0.142208789781784	0.17	0.687	1.35318072437949e-144
"TNFRSF12A"	1.25253116149174e-51	0.142148936419029	0.279	0.66	3.06857609253862e-47
"IGBP1"	1.45881525932451e-171	0.142054807649709	0.157	0.705	3.57395150381912e-167
"P4HB"	1.29189348169793e-48	0.142046488973253	0.41	0.951	3.16500984081176e-44
"MT1A"	1.30697113811353e-82	0.141964583604375	0.098	0.397	3.20194859126433e-78
"MVP"	1.18254342900562e-157	0.141903416695706	0.17	0.71	2.89711314672087e-153
"MDH2"	4.96476144132272e-57	0.141857664497688	0.357	0.863	1.21631690550965e-52
"EIF2B3"	2.52555206900555e-129	0.141775045037344	0.08	0.461	6.18735001385671e-125
"ALKBH7"	3.62781939614389e-166	0.141581859937624	0.177	0.74	8.88779473861292e-162
"ZNF581"	1.65420576405969e-64	0.141533607751516	0.069	0.297	4.05263870136984e-60
"ENO1"	0.104553621556693	0.14144117136778	0.632	0.988	1
"P4HTM"	1.15982910467007e-133	0.14130336948448	0.09	0.487	2.84146532353121e-129
"DECR1"	5.41206071853744e-166	0.141270270925714	0.126	0.627	1.32590075543449e-161
"C2orf49"	2.92598816079674e-142	0.141216859601702	0.07	0.462	7.16837839513594e-138
"PSMA4"	2.12184129804824e-139	0.141012482570383	0.232	0.806	5.19829899608837e-135
"NFKBIL1"	3.22730704181953e-102	0.141004241955863	0.093	0.432	7.90657952175367e-98
"GTF2F1"	4.3396471708038e-138	0.140977435830385	0.088	0.493	1.06317016037522e-133
"CDV3"	3.8451585255196e-106	0.140760167887511	0.303	0.893	9.42025387167046e-102
"FH"	2.45167318679186e-150	0.14074362126553	0.121	0.588	6.00635414032138e-146
"IFIT1"	6.94205544389786e-73	0.140742436810098	0.096	0.371	1.70073416320054e-68
"PACSIN3"	3.60194091394024e-89	0.140673149956523	0.069	0.355	8.82439504506221e-85
"TMEM160"	2.11257428587372e-137	0.140594004966573	0.112	0.543	5.17559574296203e-133
"C19orf48"	4.57877099274726e-102	0.140544745917639	0.077	0.398	1.12175310551315e-97
"ATP6V0B"	3.99056923609611e-68	0.140509638336138	0.354	0.891	9.77649557151185e-64
"STUB1"	3.31535270368071e-112	0.140496642450594	0.281	0.861	8.12228258874738e-108
"NDUFB10"	1.97397313655846e-54	0.140439794987775	0.39	0.936	4.83603678725457e-50
"COX8A"	6.1776376395111e-26	0.140211975552162	0.451	0.945	1.51345944530382e-21
"DRAP1"	9.64115422373842e-86	0.139991604184017	0.309	0.858	2.36198637327368e-81
"PSMB7"	9.99743629166352e-158	0.139965907214593	0.18	0.729	2.44927191709465e-153
"CBX3"	4.75046273901035e-06	0.139711606337049	0.574	0.966	0.116381586643014
"GEMIN6"	9.53178700984489e-144	0.139682005320234	0.105	0.542	2.3351924995419e-139
"GFER"	2.60981235775548e-123	0.139611072871965	0.101	0.493	6.39377929526514e-119
"TPI1"	0.000139599049959782	0.139341983337907	0.793	0.986	1
"FLOT1"	1.86279884136307e-150	0.13908397063874	0.226	0.821	4.5636708814554e-146
"PUF60"	4.14781494503516e-120	0.1389552578782	0.206	0.71	1.01617318338416e-115
"RNPEPL1"	4.31856953131597e-113	0.138934477013034	0.071	0.408	1.0580063494771e-108
"AAMP"	5.81065849285805e-142	0.138878772779874	0.099	0.526	1.42355322416529e-137
"PTTG1"	1.4040686545319e-43	0.138788776069688	0.333	0.723	3.4398277967377e-39
"MRPS18B"	1.15425037947817e-157	0.138668239213709	0.17	0.707	2.82779800468356e-153
"MGST2"	4.46581001054887e-162	0.13847627512081	0.094	0.55	1.09407879448437e-157
"IK"	5.0620462506642e-97	0.138446573320069	0.276	0.807	1.24015071095022e-92
"ATP6V0E1"	2.74297740824786e-12	0.138396795017412	0.529	0.984	6.72002035246643e-08
"SLC25A1"	4.99379334024904e-134	0.138385760416775	0.09	0.49	1.22342943042761e-129
"ACP1"	1.22946950814498e-128	0.1383338515537	0.249	0.826	3.01207734800438e-124
"KIFC2"	7.27904361165985e-48	0.138225555631344	0.046	0.212	1.78329289442055e-43
"QDPR"	6.28785821593078e-133	0.138131239633592	0.079	0.465	1.54046238432088e-128
"GS1-251I9.4"	1.81675998937526e-182	0.138049179894305	0.125	0.653	4.45088029797044e-178
"OST4"	8.70833763342553e-05	0.137987575860227	0.555	0.989	1
"SF3B2"	4.19606234112907e-146	0.137928765139101	0.214	0.785	1.02799331295321e-141
"CST7"	1.77266779838188e-53	0.137737514936336	0.046	0.225	4.34285883925578e-49
"NAA20"	2.58879564470416e-175	0.13768734444784	0.187	0.771	6.34229044996073e-171
"GRB2"	5.67406755295002e-168	0.137668583911217	0.164	0.712	1.39008980979723e-163
"IFI6"	6.27840535633733e-13	0.137491892074837	0.47	0.82	1.53814652824908e-08
"DDX18"	3.14594273296828e-180	0.137286964102831	0.208	0.831	7.707245101499e-176
"PSMB5"	1.13441003612295e-80	0.137233488705236	0.312	0.85	2.77919114749762e-76
"LTA4H"	1.9705933241596e-110	0.137224818409224	0.276	0.841	4.8277565848586e-106
"ATP6V1E1"	2.61154079938614e-163	0.137216853413898	0.15	0.675	6.39801380441611e-159
"MRPL28"	2.96137206511762e-160	0.137065942149968	0.136	0.64	7.25506542233166e-156
"TXNIP"	0.000277419350539085	0.137049172197968	0.571	0.904	1
"POLR2K"	2.54607769852426e-90	0.137016190014986	0.325	0.906	6.23763575361459e-86
"SDCBP"	7.52950169365823e-155	0.136854292891162	0.259	0.899	1.84465261992933e-150
"UBXN6"	2.23367567237408e-90	0.136709084693162	0.07	0.359	5.47228202974926e-86
"FHL3"	4.55754075236528e-87	0.136306905346766	0.074	0.361	1.11655190892197e-82
"NAP1L1"	0.301117207041707	0.136271328463867	0.696	0.994	1
"CFI"	6.57076319681556e-170	0.135931510967887	0.117	0.614	1.60977127558784e-165
"RHEB"	1.54253241929121e-39	0.135877071040211	0.431	0.957	3.77905017402153e-35
"TRADD"	1.60356541004366e-148	0.135341138558077	0.113	0.566	3.92857489806595e-144
"KRT18"	8.49069176339224e-10	0.135176913849809	0.91	0.986	2.08013457511346e-05
"COA4"	5.63787117464814e-163	0.135102686528495	0.209	0.809	1.38122205907705e-158
"MYL9"	7.85943797471135e-51	0.135062679128676	0.045	0.217	1.92548370942453e-46
"ETFB"	7.1749045014186e-157	0.135012803233796	0.201	0.776	1.75777985380254e-152
"CALU"	8.53968146676106e-88	0.134588065341268	0.323	0.887	2.09213656254179e-83
"GPS1"	6.26418111171739e-143	0.13424010152077	0.102	0.532	1.53466173055964e-138
"NPM3"	1.7184176152867e-140	0.134084573631429	0.085	0.491	4.20995131569089e-136
"FAM136A"	5.05828956928729e-166	0.134006645996847	0.155	0.69	1.23923036157969e-161
"AP1S2"	1.61284230138778e-69	0.133939954803712	0.044	0.257	3.95130235416992e-65
"RPF1"	4.30384616232166e-124	0.133562919722541	0.071	0.43	1.05439927130718e-119
"MET"	9.67395047330835e-83	0.133522190323284	0.34	0.914	2.37002112645581e-78
"MXI1"	4.64324533395266e-81	0.133450517371911	0.074	0.346	1.13754867436506e-76
"FOLR1"	2.32000712247447e-101	0.13315819043661	0.113	0.471	5.68378544935021e-97
"FRA10AC1"	4.50810004314074e-138	0.133073634910662	0.078	0.472	1.10443942956905e-133
"GPX8"	3.13903681125254e-116	0.132982674587561	0.095	0.462	7.6903262838876e-112
"C8orf59"	2.42112553458143e-45	0.132792923356732	0.415	0.951	5.93151544717105e-41
"TGFBI"	3.3677790577191e-89	0.132773155095754	0.263	0.756	8.25072191350602e-85
"SSR2"	4.26570385548275e-107	0.132588023694303	0.3	0.899	1.04505478755472e-102
"HIST1H1D"	2.36276079843266e-43	0.132531820851338	0.063	0.232	5.78852768008018e-39
"COPS5"	5.89125292001924e-175	0.132164112375579	0.138	0.667	1.44329805287551e-170
"TSC22D4"	2.53184601475799e-120	0.132086372550796	0.066	0.412	6.20276955155561e-116
"RAB5C"	7.4320608157814e-182	0.132036843788966	0.201	0.818	1.82078057925828e-177
"SCOC"	1.93648440700922e-139	0.131905327422421	0.278	0.914	4.74419314873189e-135
"RP11-841O20.2"	1.16183010231349e-66	0.131881349051859	0.052	0.267	2.84636756765783e-62
"GPX4"	0.8457332442408	0.131854319286756	0.646	0.99	1
"FAM89B"	7.76857382518154e-167	0.131754110245689	0.139	0.66	1.90322290143122e-162
"MRPL35"	9.95073340662771e-129	0.131735026340427	0.071	0.439	2.43783017728972e-124
"ATP5D"	1.70732953979851e-91	0.131733591377805	0.32	0.897	4.18278663955237e-87
"ZRANB2"	5.65685633910796e-181	0.131495678070368	0.162	0.733	1.38587323451806e-176
"RAN"	0.0473138792290764	0.131480810370278	0.652	0.964	1
"METTL5"	5.29188320136872e-163	0.131462305182842	0.198	0.781	1.29645846550332e-158
"MRPS15"	1.22840146236081e-93	0.131235440653106	0.325	0.908	3.00946074263774e-89
"CUEDC2"	8.42981058439726e-138	0.131195959577718	0.13	0.58	2.06521929507148e-133
"ADAP1"	4.68898851019323e-71	0.131176069096255	0.057	0.29	1.14875529511224e-66
"PRKAG1"	8.77463815576014e-121	0.131019541464977	0.076	0.433	2.14969860177968e-116
"DNAJB2"	7.34299890411194e-59	0.130758405729977	0.054	0.255	1.79896130151838e-54
"DDX56"	5.36628990833478e-150	0.130724050599843	0.106	0.553	1.31468736464294e-145
"RRAS"	1.50907746878265e-133	0.130691783820532	0.12	0.554	3.69708889077062e-129
"CARHSP1"	9.39807256767977e-119	0.130623402634964	0.265	0.833	2.30243379835587e-114
"PFKP"	9.12792380803226e-135	0.130607312507886	0.162	0.642	2.23625005372982e-130
"C12orf10"	9.70449783969866e-157	0.130551409491875	0.133	0.624	2.37750492574778e-152
"MRPS22"	1.14932023270212e-135	0.130533028064166	0.09	0.493	2.81571963809693e-131
"COX14"	1.02816335075133e-118	0.130512248218729	0.306	0.933	2.51889739300567e-114
"ZCCHC17"	1.06408346762568e-155	0.13049331003907	0.098	0.548	2.60689808733614e-151
"CTBS"	1.69634761485842e-177	0.130405834279187	0.106	0.604	4.15588202164165e-173
"KHDRBS3"	1.48909701989892e-80	0.130255719669513	0.064	0.325	3.64813878905036e-76
"BCL7C"	2.97558840949173e-147	0.130141149277102	0.178	0.704	7.28989404441378e-143
